"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Hybrid Kinematic and Muscular Null Space for Simultaneous Control of Natural and Extra Degrees of Freedom","J. Rossato; B. Brogi; T. L. Baldi; E. Hinnekens; D. Prattichizzo; A. d'Avella","COMETE, INSERM UMR-S 1075, Interdisciplinary Center for Virtual Reality (CIREVE), UNICAEN, University of Caen Normandy, Caen, France; Department of Information Engineering and Mathematics, University of Siena, Siena, Italy; Department of Information Engineering and Mathematics, University of Siena, Siena, Italy; Laboratory of Neuromotor Physiology, IRCCS Fondazione Santa Lucia, Rome, Italy; Department of Information Engineering and Mathematics, University of Siena, Siena, Italy; Laboratory of Neuromotor Physiology, IRCCS Fondazione Santa Lucia, Rome, Italy",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"18 Jun 2026","2026","34","","2971","2981","Humans possess more degrees of freedom than are required to perform upper-limb tasks, giving rise to a body null space that can be exploited to extend natural control capabilities. Both kinematic and muscular null space control modalities have been shown to be feasible in prior studies; however, their relative performance has not yet been compared within the same participants and task. Moreover, their potential combined use for flexible control of supernumerary degrees of freedom (SuDoFs) remains unexplored. In this study, we compare kinematic and muscular null space control and investigate a hybrid modality that either combines both to control one SuDoF or uses them separately to control two SuDoFs simultaneously. We propose a novel implementation of kinematic and muscular null space extraction that enables their real-time integration within a unified control framework. Sixteen participants performed a reaching and orientation task in a virtual reality environment, controlling the rotation of a virtual elliptical cursor to match targets with varying orientations. Task difficulty was modulated through single-axis and dual-axis target rotations, as well as with a baseline condition requiring no rotation control. Participants completed the task using muscular, kinematic, and hybrid null space control modalities. Results showed that muscular control outperformed purely kinematic control for rotated targets. The hybrid modality significantly improved performance relative to kinematic control, mitigating performance degradation, and supported both combined single-SuDoF control and simultaneous two-SuDoF control. These findings demonstrate that hybrid null space control is a robust and flexible strategy for human augmentation.","1558-0210","","10.1109/TNSRE.2026.3702775","European Union’s Horizon Europe Programme through the Project “HARIA—Human–Robot Sensorimotor Augmentation”(grant numbers:101070292); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11558524","Body null space control;high-density surface EMG;human augmentation;virtual reality interfaces","Null space;Limbs;Arm;Muscles;Hands;Redundancy;Termination of employment;Calibration;Electromyography;Distance measurement","Humans;Biomechanical Phenomena;Female;Muscle, Skeletal;Male;Young Adult;Adult;Algorithms;Psychomotor Performance;Virtual Reality;Rotation;Orientation","","","29","CCBY","11 Jun 2026","2026","","IEEE","IEEE Journals"
"Am I Still Me? Visual Congruence Across Reality-Virtuality and Avatar Appearance in Shaping Self-Perception and Behavior","M. L. Fiedler; C. Merz; L. Schach; J. Tschanter; M. Botsch; C. Wienrich; M. E. Latoschik","Psychology of Intelligent Interactive Systems (PIIS) Group, Human-Computer Interaction (HCI) Group, University of Würzburg, Germany; Psychology of Intelligent Interactive Systems (PIIS) Group, Human-Computer Interaction (HCI) Group, University of Würzburg, Germany; HCI Group, Germany; Psychology of Intelligent Interactive Systems (PIIS) Group, Human-Computer Interaction (HCI) Group, University of Würzburg, Germany; Computer Graphics Group, TU Dortmund University, Germany; PIIS Group, Germany; HCI Group, Germany",IEEE Transactions on Visualization and Computer Graphics,"19 May 2026","2026","32","5","3712","3722","This paper presents the first systematic investigation of how congruence in visual self-representation influences self-perception and behavior. We span a continuum from the physical self through avatars with graded self-similarity to clearly dissimilar avatars in virtual reality (VR). In a 1 ×4 within-user study, participants completed movement and quiz tasks in either physical reality or a digital twin environment in VR, where they embodied one of three avatars: a photorealistic self-similar avatar, a dissimilar same-gender avatar, or a dissimilar opposite-gender avatar. Subjective measures included presence, sense of embodiment, self-identification, and perceived change, and were complemented by an objective movement metric of behavioral change. Compared to physical reality, VR, even with a self-similar avatar, produced lower presence, a weaker sense of embodiment, and reduced self-identification, revealing a persistent gap in visual congruence. Within VR, self-similar avatars enhanced body ownership, self-location, and self-identification relative to dissimilar avatars. Conversely, dissimilar avatars produced measurable behavioral changes compared with self-similar ones. Gender cues, however, had little impact in gender-neutral tasks. Overall, the findings show that photorealistic self-similar avatars reinforce embodiment and self-identification. However, VR still falls short of achieving congruence with physical reality, underscoring key challenges for avatar realism and ecological validity.","1941-0506","","10.1109/TVCG.2026.3679890","Bavarian State Ministry for Digital Affairs; XR Hub(grant numbers:A5-3822-2-16); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11460309","Virtual reality;avatars;digital twin;cross-reality comparison;presence;sense of embodiment;self-identification;photorealism;behavior change","Earth Observing System;Artificial satellites;Feeds;Feedback;Circuits;Integrated circuits;Avatars;Graphical user interfaces;Radio access networks;Regional area networks","","1","","71","CCBY","1 Apr 2026","May 2026","","IEEE","IEEE Journals"
"Optimizing Material Flow in Industrial Warehousing: A Human-Centric Industrial Metaverse","A. Lignell; F. Sohrab; M. Gabbouj","Faculty of Information Technology and Communication Sciences, Tampere University, Tampere, Finland; Faculty of Information Technology and Communication Sciences, Tampere University, Tampere, Finland; Faculty of Information Technology and Communication Sciences, Tampere University, Tampere, Finland",IEEE Access,"27 Mar 2026","2026","14","","45302","45319","The rapid evolution of Industry 4.0 and the emerging paradigm of Industry 5.0 are reshaping industrial operations by emphasizing digital integration, sustainability, and human-centric design. Within this transformation, the industrial metaverse has emerged as a novel paradigm that integrates immersive technologies such as Augmented Reality (AR), Virtual Reality (VR), digital twins, and AI with physical industrial environments. While these technologies offer significant potential for operational enhancement, their structured application to material flow optimization in industrial warehousing remains limited. A key challenge lies in the insufficient integration of human-centric principles within metaverse-enabled warehouse systems, particularly in aligning immersive technologies with real operational dynamics and workforce requirements. Moreover, despite increasing conceptual discussions on the industrial metaverse, domain-specific frameworks tailored to warehouse material flow processes are still underdeveloped. To address these gaps, this study employs a qualitative research methodology based on an extensive literature review and comparative analysis to examine the conceptual foundations, technological enablers, and architectural standards underlying the industrial metaverse. Building upon this analysis, the paper proposes a human-centric conceptual framework for metaverse-enabled industrial warehousing, integrating AR wearables, digital twins, machine learning, and cyber-physical synchronization standards to optimize material flow processes. The study clarifies the definitional scope of the industrial metaverse in the context of warehouse operations and outlines its potential benefits and implementation challenges. The findings highlight how immersive and intelligent technologies can support improved task accuracy, enhanced operational visibility, and more adaptive, human-centered warehouse environments.","2169-3536","","10.1109/ACCESS.2026.3676984","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11454546","Augmented reality;digital transformation;machine learning;manufacturing automation;virtual reality;warehousing","Metaverse;Fourth Industrial Revolution;Warehousing;Digital twins;Standards;Fifth Industrial Revolution;Synchronization;Optimization;Logistics;Business","","1","","54","CCBY","23 Mar 2026","2026","","IEEE","IEEE Journals"
"Comparing Abstract and Realistic Agent-Led Instructions for Language Learning in Virtual Environments: A Study on Presence Effects","G. Gonçalves; M. Romão; B. Peixoto; L. Bessa; M. Melo","University of Trás-os-Montes and Alto Douro, Vila Real, Portugal; University of Trás-os-Montes and Alto Douro, Vila Real, Portugal; University of Trás-os-Montes and Alto Douro, Vila Real, Portugal; University of Trás-os-Montes and Alto Douro, Vila Real, Portugal; University of Trás-os-Montes and Alto Douro, Vila Real, Portugal",IEEE Revista Iberoamericana de Tecnologias del Aprendizaje,"28 Apr 2026","2026","21","","306","314","This study investigates the impact of virtual agent realism in immersive Virtual Reality (iVR) on foreign-language vocabulary learning. Specifically, it compares the effectiveness of a realistic (human-like) pedagogical virtual agent versus an abstract (non-human-like) one in delivering instructional content. A between-subjects experiment was conducted with 17 participants, divided into two groups, were exposed to either the realistic or abstract agent in an iVR Search-and-Find vocabulary learning task. Learning outcomes were measured using pre- and post-tests (based on word matching translations for 10 German-Portuguese item pairs), while presence-related experiences were assessed via the Igroup Presence Questionnaire and Temple Presence Inventory. Both groups demonstrated significant vocabulary acquisition improvements. However, no significant differences were found between the realistic and abstract agent groups in either learning outcomes or presence scores. The findings suggest that the visual realism of virtual agents may not significantly influence language learning effectiveness or user presence in these iVR environments. These preliminary results imply that abstract agents could be as effective as realistic agents for this type of foreign-language instruction, potentially reducing development resources without compromising learning benefits.","1932-8540","","10.1109/RITA.2026.3675805","European Regional Development Fund (ERDF) through the NORTE 2030 Regional Program under Portugal 2030, within the Scope of the Project ImmersiveSGS(grant numbers:21054 (NORTE2030-FEDER-02183900)); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11447281","Foreign language learning;virtual reality;virtual agents;presence;between-subject study","Vocabulary;Virtual environments;Cognitive load;Visualization;Hands;Three-dimensional displays;Systematic literature review;Immersive learning;Humanoid robots;Avatars","","","","48","CCBYNCND","19 Mar 2026","2026","","IEEE","IEEE Journals"
"Advancing Engineering Education Through Serious Games: A Systematic Literature Review of Technological Innovation, Challenges, and Future Directions","Y. M. Arif; A. F. Karami; S. A. Rohma; S. Criollo-C","Department of Informatics Engineering, Universitas Islam Negeri Maulana Malik Ibrahim Malang, Malang, Indonesia; Department of Informatics Engineering, Universitas Islam Negeri Maulana Malik Ibrahim Malang, Malang, Indonesia; Department of Informatics Engineering, Universitas Islam Negeri Maulana Malik Ibrahim Malang, Malang, Indonesia; Carrera de Ingeniería en Ciberseguridad, Universidad de las Américas, Quito, Ecuador",IEEE Access,"9 Mar 2026","2026","14","","35225","35242","The rapid evolution of engineering education has intensified the demand for instructional approaches that can effectively support experiential learning, complex problem solving, and student engagement beyond traditional lecture-based methods. In this context, serious games have emerged as a promising pedagogical paradigm, particularly when combined with emerging technologies such as artificial intelligence (AI) and immersive environments. This study presents a systematic literature review (SLR) of serious games in engineering education, synthesizing peer-reviewed research published between 2020 and 2025 and indexed in Scopus and IEEE Xplore. Following the PRISMA 2020 framework, 63 primary studies were rigorously selected and analyzed to identify dominant technological innovations, application domains, game genres, research methodologies, and implementation challenges. The findings indicate that web- and mobile-based serious games remain the most prevalent due to their accessibility and scalability, while immersive technologies especially Virtual Reality (VR) demonstrate strong potential for enhancing spatial understanding and experiential learning in complex engineering domains. However, the integration of AI-driven adaptivity remains limited, with only a small subset of studies employing machine learning or computer vision techniques for personalized learning support. Key challenges include high development and infrastructure costs, limited pedagogical alignment, inconsistent evaluation frameworks, and insufficient attention to long-term learning outcomes and soft skill development. This review contributes a comprehensive cross-disciplinary perspective on technological trends and research gaps, highlighting the need for pedagogically grounded, AI-enhanced, and scalable serious game frameworks to support sustainable innovation in engineering education.","2169-3536","","10.1109/ACCESS.2026.3669416","Universitas Islam Negeri Maulana Malik Ibrahim Malang, Malang, Indonesia; Universidad de las Américas, Quito, Ecuador; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11417788","Serious games;engineering education;virtual reality;artificial intelligence;adaptive learning;game-based learning","Games;Engineering education;Systematic literature review;Artificial intelligence;Technological innovation;Systematics;Solid modeling;Scalability;Databases;Software engineering","","","","83","CCBY","2 Mar 2026","2026","","IEEE","IEEE Journals"
"Wearable Soft Haptic Interface for Tactile Perception of Virtual Rain and Other Environmental Particles","D. Costabile; A. Villani; D. Prattichizzo","Department of Information Engineering and Mathematics, University of Siena, Siena, Italy; Department of Information Engineering and Mathematics, University of Siena, Siena, Italy; Department of Information Engineering and Mathematics, University of Siena, Siena, Italy",2025 IEEE Conference on Telepresence,"19 May 2026","2025","","","175","180","Rendering weather phenomena within virtual environments plays a crucial role in enhancing the realism and immersiveness of user experiences. Despite the advancements in audiovisual simulation of such phenomena, their haptic representation remains relatively underexplored. The lack of tactile feedback may result in a perceptual disconnect. To address this sensory imbalance, we have developed and validated a novel wearable haptic interface. This technology is specifically designed to deliver localised, subtle, and transient tactile stimuli, emulating the ephemeral nature of suspended or falling particles as raindrops, snowflakes and sand grains, through the use of soft, compliant materials. Moreover, we exploited a couple of devised interfaces to conduct a user study that assessed whether the haptic rendering of atmospheric particles in rainy VR scenarios improves the user experience, increasing the sense of presence.","","979-8-3315-8616-4","10.1109/Telepresence66096.2025.11521335","Health; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11521335","","Printing;Haptic interfaces;Conferences;Virtual reality;Design methodology;Rendering (computer graphics);Virtual environments;Elementary particles;Meteorology;Usability","","","","32","IEEE","19 May 2026","8-10 Sept. 2025","8-10 Sept. 2025","IEEE","IEEE Conferences"
"Adaptive Radio System Using MetaSounds for Serious VR Game","F. Annisa Damastuti; K. Firmansyah; Y. Miftachul Arif; D. Pramadihanto; S. Criollo-C","Department of Creative Multimedia Technology, Electronic Engineering Polytechnic Institute of Surabaya, Surabaya, Indonesia; Apple Developer Academy, Binus University, Bali, Indonesia; Department of Informatics Engineering, Universitas Islam Negeri Maulana Malik Ibrahim Malang, Malang, Indonesia; Department of Informatics and Computer Engineering, Electronic Engineering Polytechnic Institute of Surabaya, Surabaya, Indonesia; Carrera de IngenierÍa en Ciberseguridad, Facultad de IngenierÍa y Ciencias Aplicadas, Universidad de Las Américas, Quito, Ecuador",IEEE Access,"7 Nov 2025","2025","13","","189188","189202","Background: Adaptive audio can deepen immersion in VR, yet many pipelines still rely on fixed playlists or ad-hoc triggers that break narrative coherence during rapid context shifts in serious games. Methods: We implement an adaptive in-game radio using Unreal Engine MetaSounds and a finite-state machine (FSM). Three affective stations (Happy, Excited, Intense) drive procedural ambient music with equal-power crossfades, loudness normalization, and optional beat-synchronous transitions. We integrate Blueprint–MetaSounds graphs and evaluate usability and perceived immersion with 30 participants in VR. Results: The interface was rated intuitive by 90% of users; 85% reported higher immersion than a non-adaptive baseline; 80% felt the adaptive music heightened emotions at key events. Overall satisfaction averaged 4.5/5, and 70% indicated replay intent to explore audio variants. We provide the audio graph, state logic, and transition envelopes, and quantify transition smoothness via envelope and loudness metrics. Conclusions: An engine-native MetaSounds–FSM pattern is practical to deploy and can improve engagement in serious VR contexts. We discuss design trade-offs, limitations (sample size and demographics), and avenues for broader deployment in training and therapeutic simulations.","2169-3536","","10.1109/ACCESS.2025.3627544","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11223216","Adaptive radio system;virtual reality;serious games;MetaSounds;immersive audio;finite state machines","Games;Adaptive systems;Virtual reality;Music;Training;Spatial audio;Engines;Radio navigation;Automata;Mood","","1","","44","CCBY","31 Oct 2025","2025","","IEEE","IEEE Journals"
"Association Between Cognitive Function and Spatial–Temporal Measures of Gait and Balance When Navigating a Virtual Reality Floor Maze","J. Chen; D. Martelli; S. K. Agrawal","Department of Mechanical Engineering, Columbia University, New York, NY, USA; Orthopedics/Sports Medicine Department, MedStar Health Research Institute, Baltimore, MD, USA; Department of Mechanical Engineering and the Department of Rehabilitation and Regenerative Medicine, Columbia University, New York, NY, USA",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"9 Sep 2025","2025","33","","3534","3543","Spatial navigation has been used as a behavioral marker of cognitive impairments. Floor Maze Tests (FMT) are used to characterize navigation where subjects physically move through a two-dimensional maze drawn on the floor. A Virtual Reality version of FMT (VR-FMT) has been developed, which provides a 3-dimensional navigation environment where the height of the maze walls can be altered. For both FMT and VR-FMT, the time used to complete the maze has been reported as the outcome measure to characterize the cognitive function. This study aims to show new performance metrics derived from spatial-temporal gait and balance parameters during navigation through the maze and their association with the cognitive scores in subjects with probable dementia. Sixty-five older adults with probable dementia participated in an experiment where subjects walked in VR-FMT with two wall heights, 2 centimeters (no wall condition) and 2 meters (wall condition). Our results showed that in no wall condition, the gait and balance parameters during navigation were associated with cognitive scores measuring attention and executive function. In wall condition, besides attention and executive function, gait parameters showed a correlation with the scores of the auditory memory. This paper showed that the spatial-temporal gait and balance parameters during spatial navigation are important metrics of cognitive function in addition to the completion time. VR-FMT with walls can help identify early memory impairments in individuals.","1558-0210","","10.1109/TNSRE.2025.3605536","National Institute on Aging of the National Institutes of Health(grant numbers:R21AG072469); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11146926","Floor maze test;spatial navigation;cognition;gait and balance;virtual reality","Navigation;Floors;Virtual reality;Planning;Foot;Legged locomotion;Visualization;Turning;Protocols;Meters","Humans;Virtual Reality;Male;Female;Aged;Postural Balance;Gait;Cognition;Aged, 80 and over;Spatial Navigation;Maze Learning;Dementia;Attention;Executive Function;User-Computer Interface","2","","50","CCBY","2 Sep 2025","2025","","IEEE","IEEE Journals"
"Design and Implementation of Metaverse for a Self-Learning Platform: a Case Study in KMUTNB Techno Park","P. Vanichchanunt; P. Kumprasert; P. Sasithong; I. Yamyuan; P. La-Aiddee; S. Noisri; S. Saengthongkam; S. Jearavongtakul; N. Wuttiananchai; S. Ali; S. Sinrungtham; V. Sittakul; S. Paripurana; L. Wuttisittikulkij","Department of Electrical and Computer Engineering, Faculty of Engineering, King Mongkut’s University of Technology North Bangkok, Bangkok, Thailand; Department of Electrical Engineering, Faculty of Engineering, Chulalongkorn University, Bangkok, Thailand; Department of Electrical Engineering, Faculty of Engineering, Chulalongkorn University, Bangkok, Thailand; Department of Electrical Engineering, Faculty of Engineering, Chulalongkorn University, Bangkok, Thailand; Department of Electrical Engineering, Faculty of Engineering, Chulalongkorn University, Bangkok, Thailand; Department of Electrical Engineering, Faculty of Engineering, Chulalongkorn University, Bangkok, Thailand; Department of Electrical Engineering, Faculty of Engineering, Chulalongkorn University, Bangkok, Thailand; Department of Electrical Engineering, Faculty of Engineering, Chulalongkorn University, Bangkok, Thailand; Department of Electrical Engineering, Faculty of Engineering, Chulalongkorn University, Bangkok, Thailand; Department of Electrical Engineering, Faculty of Engineering, Chulalongkorn University, Bangkok, Thailand; Department of Electronic Engineering Technology, College of Industrial Technology, King Mongkut’s University of Technology North Bangkok, Bangkok, Thailand; Department of Electronic Engineering Technology, College of Industrial Technology, King Mongkut’s University of Technology North Bangkok, Bangkok, Thailand; Department of Electrical and Computer Engineering, Faculty of Engineering, King Mongkut’s University of Technology North Bangkok, Bangkok, Thailand; Department of Electrical Engineering, Faculty of Engineering, Chulalongkorn University, Bangkok, Thailand","2025 22nd International Conference on Electrical Engineering/Electronics, Computer, Telecommunications and Information Technology (ECTI-CON)","8 Aug 2025","2025","","","1","4","This paper introduces the KMUTNB Techno Park Metaverse, an online learning platform jointly developed by the Technology Park of King Mongkut’s University of Technology North Bangkok and Chulalongkorn University. By combining immersive 3D environments with introductory computer programming and Science, Technology, Engineering and Mathematics (STEM) lessons, the developed platform provides an engaging space for students, professionals, and the general public to learn at their own pace. A digital twin-based simulation allows learners to experience realistic coding scenarios, reinforcing practical skills that are highly valued in today’s technology driven industries. Through this interactive virtual setting, participants can explore programming fundamentals, collaborate with peers, and receive structured guidance all without the limitations of physical classrooms. The KMUTNB Techno Park Metaverse highlights the promise of metaverse technology for broadening access to education, preparing learners for the evolving demands of the digital workforce.","2837-6471","979-8-3315-2223-0","10.1109/ECTI-CON64996.2025.11100970","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11100970","Digital Twin;Interactive Learning;Metaverse;Virtual Learning","Industries;Three-dimensional displays;Metaverse;Education;Information age;Digital twins;Telecommunications;Programming profession;Research and development;STEM","","1","","6","IEEE","8 Aug 2025","20-23 May 2025","20-23 May 2025","IEEE","IEEE Conferences"
"Authentication and Identification System for Interconnected Metaverses: Consideration and Implementation","M. B. Bo; S. Saengthongkam; P. Sasithong; P. Vanichchanunt; P. Phoummavong; L. Wuttisittikulkij","Department of Electrical Engineering, Chulalongkorn University, Bangkok, Thailand; Department of Electrical Engineering, Chulalongkorn University, Bangkok, Thailand; Department of Electrical Engineering, Chulalongkorn University, Bangkok, Thailand; Department of Electrical and Computer Engineering, Faculty of Engineering, King Mongkut’s University of Technology North Bangkok, Bangkok, Thailand; Department of Computer Engineering and Information Technology, Faculty of Engineering, National University of Laos, Vientiane, Laos; Department of Electrical Engineering, Chulalongkorn University, Bangkok, Thailand","2025 22nd International Conference on Electrical Engineering/Electronics, Computer, Telecommunications and Information Technology (ECTI-CON)","8 Aug 2025","2025","","","1","6","The metaverse is rapidly emerging as a transformative digital environment, enabling users to engage in diverse activities across interconnected virtual spaces. One of the critical challenges in the metaverse ecosystem is ensuring secure, scalable, and interoperable authentication and identity management across platforms. This paper introduces a hybrid server-side authentication and blockchain-based endorsement system designed to address these challenges, specifically in the process of allowing connection from diverse metaverses to the MANGOs (Metaverse of Academic Nexus for Global Opportunities) ecosystem. The proposed system combines a centralized OAuth2.0-inspired authentication mechanism with blockchain-based NFTs to provide secure, seamless user interactions while ensuring data privacy and interoperability. Our system enables users to authenticate seamlessly and share data access across multiple metaverses, while the blockchain ensures verifiable endorsements across platforms. The implementation and testing results demonstrate the effectiveness of this system in addressing key issues of scalability, security, and user experience in cross-platform metaverse environments.","2837-6471","979-8-3315-2223-0","10.1109/ECTI-CON64996.2025.11100953","Chulalongkorn University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11100953","Metaverse;Authentication;Identity Management;Interoperability;Blockchain;NFTs;OAuth2.0;Smart Contracts;MANGOs;Polygon;Ethereum;Non-Fungible Tokens;Access Control;Web3","Privacy;Metaverse;Scalability;Ecosystems;Authentication;User experience;Telecommunications;Identity management systems;Interoperability;Testing","","1","","20","IEEE","8 Aug 2025","20-23 May 2025","20-23 May 2025","IEEE","IEEE Conferences"
"Adaptive Spelling in Immersive Reality: The Impact of Gamified VR and LLMs on Young Learners’ English Color Word Acquisition","J. S. Bazargani; A. Sadeghi-Niaraki; X. Shi; S. -M. Choi","Department of Computer Science and Engineering and Convergence Engineering for Intelligent Drone, XR Research Center, Sejong University, Seoul, South Korea; Department of Computer Science and Engineering and Convergence Engineering for Intelligent Drone, XR Research Center, Sejong University, Seoul, South Korea; Department of Korean Linguistics, The Academy of Korean Studies, Seongnam-si, Gyeonggi-do, South Korea; Department of Computer Science and Engineering and Convergence Engineering for Intelligent Drone, XR Research Center, Sejong University, Seoul, South Korea",IEEE Access,"29 Jul 2025","2025","13","","131789","131802","Spelling is a crucial language skill, yet traditional instruction often relies on rote memorization rather than meaningful learning. Despite various approaches to spelling instruction, the potential of virtual reality (VR) along with the integration of gamification and LLMs, remains underexplored. This study explores a VR-based, gamified approach using LLM-driven adaptive learning to improve spelling acquisition of English color words among young learners. The study employed a quasi-experimental, pre-test-post-test design with a control group. The participants were 50 male students aged 10, divided into an experimental group (N=25) that used the LLM-enhanced VR game and a control group (N=25) that received traditional instruction. The VR intervention consisted of a three-stage game built on the whole-word approach, featuring gamified elements and adaptive feedback from an LLM. Data were collected via spelling tests (pre-test, immediate post-test, and delayed post-test), user experience surveys, and semi-structured interviews. Results showed that the VR-based approach, significantly improved spelling performance and engagement. Specifically, the experimental group demonstrated substantially higher scores in both immediate vocabulary uptake and long-term retention after one week compared to the control group. Furthermore, qualitative and survey data indicated the VR experience was perceived as significantly more interesting, effective, and motivating. These findings highlight the potential of immersive, gamified learning environments to enhance spelling education, offering an effective alternative to conventional methods.","2169-3536","","10.1109/ACCESS.2025.3591114","Information Technology Research Center (ITRC) Support Program(grant numbers:IITP-2025-RS-2022 00156354); Metaverse Support Program to Nurture the Best Talents funded by the Ministry of Science and ICT of Korea and the Institute of Information and Communications Technology Planning and Evaluation (IITP)(grant numbers:IITP-2025-RS-2023-00254529); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11087543","Virtual reality;gamification;VR learning environment;spelling;vocabulary acquisition","Vocabulary;Games;Education;Focusing;Color;Visualization;Surveys;Production;Interviews;Information and communication technology","","2","","63","CCBYNCND","21 Jul 2025","2025","","IEEE","IEEE Journals"
"Generative AI Meets Virtual Reality: A Comprehensive Survey on Applications, Challenges, and Future Direction","F. Rahimi; A. Sadeghi-Niaraki; S. -M. Choi","Department of Computer Science and Engineering and Convergence Engineering for Intelligent Drone, XR Research Center, Sejong University, Seoul, South Korea; Department of Computer Science and Engineering and Convergence Engineering for Intelligent Drone, XR Research Center, Sejong University, Seoul, South Korea; Department of Computer Science and Engineering and Convergence Engineering for Intelligent Drone, XR Research Center, Sejong University, Seoul, South Korea",IEEE Access,"4 Jun 2025","2025","13","","94893","94909","The integration of generative artificial intelligence (AI) with virtual reality (VR) is reshaping how immersive environments are designed, personalized, and experienced. Unlike traditional VR systems that rely on static and pre-scripted content, Generative VR leverages AI-driven content generation, multimodal interaction, and contextual adaptation to create dynamic virtual spaces. This paper presents a comprehensive survey of the core components, applications, and challenges associated with Generative VR. It explores its transformative impact across education, healthcare, industrial training, entertainment, and emerging fields such as environmental conservation and virtual tourism. While Generative VR enhances user engagement and realism, it also introduces critical challenges, including computational scalability, ethical concerns, AI explainability, and real-time performance constraints. The paper further identifies key research gaps and future directions, such as AI-driven multi-user collaboration, cognitive load management, and cross-domain interoperability. By addressing these challenges and advancing the integration of AI with VR, Generative VR has the potential to reshape human-computer interaction, unlocking new possibilities for creativity, accessibility, and intelligent virtual ecosystems.","2169-3536","","10.1109/ACCESS.2025.3574779","ITRC Support Program(grant numbers:IITP-2025-RS-2022-00156354); Metaverse Support Program to Nurture the Best Talents; the Ministry of Science and ICT of Korea and the Institute of Information and Communications Technology Planning and Evaluation (IITP); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11017583","Generative AI;virtual reality;generative VR","Generative AI;Artificial intelligence;Virtual reality;Three-dimensional displays;Real-time systems;Scalability;Ethics;Bibliometrics;Technological innovation;Surveys","","38","","85","CCBY","29 May 2025","2025","","IEEE","IEEE Journals"
